Issue ID,Date,Device,Priority,Process / Sub Process,Comment,Issue,Detail,Picture,Status,Issue Type,Request By,Assign To,Assign To#2,Man-days,Estimated Completion Date,Actual Completion Date,Resolution / Comment
30,29/6/2026,PC,High,All Process,,มอบหมายงานทดสอบ AI Option (Qwen3) สำหรับคลังสินค้า WM3 และขอเปิด Server VM สำหรับการทดสอบ,"ระบบ (System) เพื่อเตรียมความพร้อมในการทดสอบฟังก์ชัน AI Option สำหรับโมเดลคลังสินค้า WM3 มีรายละเอียดการมอบหมายงานดังนี้ครับ:
1. สำหรับทีมพัฒนาระบบ (AI Development):
- @Kritsada.kb @AMP: ฝากประเมินและจัดเตรียมความพร้อมในการนำโมเดล Qwen3 มาปรับใช้และทำชุดทดสอบเพื่อรันบน Server VM ของเรา สำหรับฟังก์ชัน AI Option (ระบบวิเคราะห์แจ้งเตือนความเสี่ยงและแนวโน้มคลังสินค้า WM3 ดังตัวอย่างในภาพ Dashboard)2. สำหรับทีมโครงสร้างพื้นฐานระบบ (System/Infrastructure):
- @Oat Potjanawan: ฝากดำเนินการสร้างและตั้งค่าเครื่อง Server VM ใหม่สำหรับใช้ในการทดสอบ AI โดยมีสเปกเบื้องต้นดังนี้:CPU: 8 CoresRAM: 16 GBHDD: 150 GB
เมื่อระบายทรัพยากรระบบและตั้งค่า Server VM เสร็จสิ้นแล้ว รบกวนแจ้งข้อมูลการเข้าใช้งาน (Credentials) กลับมาให้ทีมทดสอบในตั๋วนี้อีกครั้งครับ",Picture18,New,Issue,P'Noom,Krit,,,30/6/2026,,
31,29/6/2026,PC,High,All Process,,ปรับปรุง Workflow การ Reset รหัสผ่าน และขอเพิ่มหน้าจอสำหรับให้ Admin จัดการเปลี่ยนรหัสผ่านให้ User (Password Management UI),"เนื่องจากหน้างานปัจจุบันผู้ใช้งานส่วนใหญ่ใช้งานผ่านเครื่อง PDA เป็นหลัก ซึ่งมีความยากลำบากหากบังคับให้ต้องสลับมาล็อกอินบนเครื่อง PC เพื่อเปลี่ยนรหัสผ่านด้วยตัวเอง จึงขอส่งประเด็นให้ทีมช่วยพิจารณาปรับปรุงระบบดังนี้ครับ:
1.ขอนำหน้าจอ Reset Password กลับมาใช้งาน: จากพฤติกรรมล่าสุด พบว่าหน้าจอสำหรับกรอกเปลี่ยนรหัสผ่านหายไป และระบบกลายเป็นแบบกดปุ่ม Reset แล้วสุ่มสร้างรหัสผ่านใหม่ (Auto-generate) ให้ทันที ซึ่งทำให้ผู้ใช้จำรหัสผ่านยาก
2.ขอเพิ่มหน้าจอสำหรับ Admin: ต้องการให้มีหน้าจอ (บนฝั่ง Web/PC) ที่สิทธิ์ Administrator สามารถพิมพ์เปลี่ยนหรือกำหนดรหัสผ่านใหม่ให้กับ User คนอื่นๆ ได้โดยตรง เพื่อความสะดวกในการช่วยเหลือพนักงานหน้างานที่ใช้เครื่อง PDA
คำถามและข้อเสนอแนะเพื่อหารือร่วมกัน (@SA:Si @Kritsada.kb):
รบกวนทีม SA และ Dev ช่วยประเมินวิธีหรือแนวทางที่ดีที่สุด (Best Practice) ในการจัดการรหัสผ่านสำหรับกลุ่มผู้ใช้เครื่อง PDA นอกเหนือจากวิธีที่เสนอไปข้างต้น มีเทคนิคหรือข้อจำกัดด้าน Security ตัวใดที่ต้องระวังเพิ่มเติมหรือไม่ครับ",Picture19,New,Issue,P'Noom,Krit,,,30/6/2026,,
32,29/6/2026,PC,High,All Process,,ไม่สามารถกดบันทึกข้อมูลได้ เมื่อเปิดใช้งานโหมดเพิ่มข้อมูล (Add Record) พร้อมกับการแก้ไขข้อมูล (Edit Row) ในหน้า Master / Item,"พบ Bug ในระบบหน้าจอ Master / Item เมื่อผู้ใช้งานทำกิจกรรมซ้อนกันระหว่างการเพิ่มข้อมูลและการแก้ไขข้อมูล ส่งผลให้ระบบไม่สามารถกดบันทึกได้ มีรายละเอียดขั้นตอนดังนี้ครับ:
ขั้นตอนการจำลองปัญหา (Steps to Reproduce):
1.ผู้ใช้กดปุ่ม ""+ Add Record"" เพื่อเพิ่มแถวข้อมูลใหม่ (ระบบแสดงผลในแถวที่ 1)
2.จากนั้นผู้ใช้ไปกดปุ่ม ""แก้ไข (รูปดินสอ)"" ที่แถวข้อมูลเดิมด้านล่าง (แถวที่ 2 ตัวเลขไอเทม 10001) เพื่อทำการแก้ไขข้อมูลควบคู่กัน
3.หลังจากแก้ไขข้อมูลเสร็จสิ้น เมื่อพยายามกดปุ่ม ""Save"" ระบบไม่ตอบสนองและไม่สามารถบันทึกข้อมูลลงฐานข้อมูลได้
สิ่งที่ต้องการให้ปรับปรุง:
-รบกวนทีมพัฒนาตรวจสอบและแก้ไขให้ระบบสามารถรองรับการบันทึกข้อมูลในกรณีนี้ได้อย่างถูกต้อง หรือหากระบบไม่ต้องการให้แก้ข้อมูลซ้อนกันในขณะที่กำลังเพิ่มข้อมูลใหม่ (Bulk Mode) ให้ทำระบบ Validation แจ้งเตือนผู้ใช้งานให้ชัดเจนครับ",Picture20,New,Issue,P'Noom,Krit,,,30/6/2026,,
35,29/6/2026,PC,High,All Process,,"เพิ่มระบบตรวจสอบความถูกต้อง (Validation) ห้ามบันทึกข้อมูล Item หากไม่มีการระบุ UOM

หน้า Edit Record (Item Master) กดบันทึกข้อมูลได้ ทั้งที่ช่องตารางหน่วย UOM ว่าง และไม่มี Error Message แจ้งเตือน","เนื่องจากข้อมูลหน่วยนับ (UOM - Unit of Measure) เป็นข้อมูลสำคัญที่จำเป็นต้องมีควบคู่กับตัวสินค้าเสมอ จึงขอให้ทีมพัฒนาเพิ่มเงื่อนไขการตรวจสอบความถูกต้องของข้อมูล (Validation Rule) ในหน้าจอจัดการสินค้า มีรายละเอียดดังนี้ครับ:
เงื่อนไขระบบที่ต้องการ (Business Logic):
-เมื่อผู้ใช้งานทำการสร้างข้อมูลสินค้าใหม่ (Create Item) หรือแก้ไขข้อมูลสินค้า (Edit Item) ระบบจะต้องตรวจสอบว่ามีการระบุข้อมูล UOM แล้วหรือยัง
-หากผู้ใช้งานไม่ได้ระบุ UOM แล้วกดบันทึก ให้ระบบทำการระงับการบันทึกข้อมูล และแสดงข้อความแจ้งเตือนความผิดพลาด (Error Message Alert) บนหน้าจอทันที เพื่อให้ผู้ใช้กลับไปกรอกข้อมูลให้ครบถ้วน

Tak : ทดสอบ ผมทำการเพิ่ม Item กดแก้ไขข้อมูลสินค้า ช่องตารางหน่วย UOM ว่าง ไม่มีแสดงข้อความแจ้งเตือนความผิดพลาด (Error Message Alert)
พบปัญหาในขั้นตอนการทำ Data Validation ตอนกดปุ่ม Save ดังนี้ครับ:
ปัญหาที่พบ:
1.ผู้ใช้งานกดเพิ่มสินค้า/แก้ไขข้อมูลสินค้า (ในรูปตัวอย่างคือไอเทม item089)
2.ในแท็บ Unit of Measure (UOM) ด้านล่าง ยังไม่ได้มีการกดปุ่ม + Add UOM เพื่อผูกหน่วยสินค้า (ตารางว่างเปล่าไม่มี Record ข้อมูล UOM เลย)
3.ผลลัพธ์ที่ผิดพลาด: เมื่อกดปุ่ม Save ระบบยอมให้บันทึกข้อมูลผ่านไปได้เฉยๆ โดยไม่มีการแจ้งเตือนความผิดพลาด (Error Message Alert) ใดๆ ขึ้นมาบอกผู้ใช้งานเลย

สิ่งที่ต้องการให้แก้ไข:
**ฝากทีม Dev เพิ่มเงื่อนไขการตรวจสอบความถูกต้องก่อนบันทึก (Pre-save Validation) ครับ โดยกำหนดให้ฟิลด์ข้อมูลในตาราง Unit of Measure (UOM) เป็นข้อมูลที่จำเป็นต้องกรอก (Required):
**หากกด Save แล้วตรวจพบว่าตาราง UOM มีค่าเป็น 0 Record ให้ระบบระงับการบันทึก (Block Save)
**พร้อมแสดงผลแจ้งเตือนเป็นกล่องข้อความความผิดพลาด (เช่น Toast Alert หรือ Error Message) ระบุข้อความชัดเจนว่า: ""Please add at least one Unit of Measure (UOM) before saving."" (กรุณาเพิ่มหน่วยข้อมูลสินค้าอย่างน้อย 1 รายการก่อนบันทึก)

ฝากทีมงานแก้ไขด่วนนิดนึงนะครับจุดนี้ เพราะมีผลกับความสมบูรณ์ของข้อมูลสินค้าในระบบ ขอบคุณครับ",Picture23,Test Failed,Issue,P'Noom,Krit,,,30/6/2026,,
36,29/6/2026,PDA,High,All Process,,เพิ่มระบบแจ้งเตือนเมื่อรับสินค้าเกินแผน (Over-receive Alert) ในหน้าจอ Inbound Receipt,"ขอให้ทีมพัฒนาเพิ่มเงื่อนไขการตรวจสอบความถูกต้องของข้อมูล (Validation Rule) ในหน้าจอแอปพลิเคชัน Inbound Receipt เมื่อมีการบันทึกจำนวนรับสินค้าจริง มีรายละเอียดดังนี้ครับ:
เงื่อนไขระบบที่ต้องการ (Business Logic):
-เมื่อผู้ใช้งานระบุจำนวนในช่อง Quantity Received (ตามกรอบสีแดง) หากจำนวนที่กรอกหรือกดเพิ่มเข้าไป มีค่ามากกว่าจำนวนแผน (Planned) ด้านบน (เช่น ในภาพแผนคือ 2.000 แต่รับจริงเกินกว่า 2.000)
-ให้ระบบแสดงข้อความแจ้งเตือน (Warning/Error Message Alert) เพื่อให้ผู้ใช้งานรับทราบว่า ""จำนวนที่รับเกินกว่าจำนวนแผน""
-ข้อจำกัดสำคัญ: ระบบห้ามทำการกรอกหรือป้อนจำนวนอัตโนมัติ (Auto-fill) ให้กับผู้ใช้งาน และห้ามปรับลดตัวเลขกลับลงมาเอง ให้แสดงผลตัวเลขตามที่ผู้ใช้พิมพ์ค้างไว้ เพื่อให้ผู้ใช้งานเป็นผู้ตรวจสอบและแก้ไขจำนวนด้วยตนเองครับ",Picture24,In Review,Issue,P'Noom,Krit,,,30/6/2026,,
40,29/6/2026,PC,High,All Process,,ปรับปรุงฟอร์แมตวันที่ในการ Export Excel: นำส่วนของเวลา (Time component) ออก ให้เหลือเฉพาะวันที่,"พบปัญหาเรื่องรูปแบบข้อมูล (Data Format) เมื่อผู้ใช้งานกดส่งออกข้อมูลเป็นไฟล์ Excel (Export Excel) ในคอลัมน์ที่แสดงข้อมูลเกี่ยวกับวันที่ (เช่น Expiry Date และ Receive Date) มีรายละเอียดดังนี้ครับ:
ปัญหาที่พบ:
-ข้อมูลวันที่ถูกส่งออกมาพร้อมกับรูปแบบเวลาเริ่มต้นระบบ เช่น 2026-06-12T00:00:00 ซึ่งทำให้ข้อมูลอ่านยากและไม่เป็นระเบียบเมื่อนำไปใช้งานต่อใน Excel

สิ่งที่ต้องการให้ปรับปรุง (Expected Result):
-รบกวนทีมพัฒนาตัดส่วนข้อมูลที่เป็นเวลา (00:00:00) ออกทั้งหมด ให้เหลือการแสดงผลเฉพาะรูปแบบวันที่เท่านั้น
-รูปแบบที่ต้องการ: เช่น ปรับจาก 2026-06-12 00:00:00 ให้แสดงผลเป็น ➡️ 2026-06-12 หรือฟอร์แมตวันที่มาตรฐานตามโครงสร้างรายงานของระบบ (YYYY-MM-DD)",Picture28,New,Issue,P'Noom,Krit,,,30/6/2026,,
43,29/6/2026,PDA,High,All Process,,ปรับปรุงช่อง Quantity To Move: ปิดการใส่จำนวนอัตโนมัติ (Disable Auto Qty) และเปิดให้ผู้ใช้พิมพ์ป้อนด้วยตนเอง,"พบประเด็นเรื่องขั้นตอนการทำงาน (User Workflow) บนหน้าจอ Putaway Strategy ในส่วนของกล่องรับข้อมูลจำนวนสินค้าที่ต้องการย้าย (Quantity To Move) มีรายละเอียดดังนี้ครับ:
พฤติกรรมปัจจุบัน:
- เมื่อผู้ใช้งานเปิดเข้ามาที่หน้าจอนี้ ระบบจะทำการใส่ค่าจำนวนสินค้าเริ่มต้นให้โดยอัตโนมัติ (Auto-fill/Default Qty) เช่น แสดงเลข 20 ขึ้นมาทันที

สิ่งที่ต้องการให้ปรับปรุง (Expected Behavior):
-รบกวนทีมพัฒนาปรับเปลี่ยนเงื่อนไข โดยไม่ต้องทำการใส่จำนวนอัตโนมัติ (Auto Qty) ใดๆ ให้กับผู้ใช้งาน
-ตั้งค่าเริ่มต้นของช่องนี้ให้เป็นค่าว่าง หรือเลข 0 เพื่อบังคับให้ผู้ใช้งานเป็นคนพิมพ์ป้อน (Manual Input) หรือกดปุ่มเครื่องหมายบวก/ลบ เพื่อระบุจำนวนสินค้าจริงด้วยตนเองเท่านั้น เพื่อป้องกันความผิดพลาดในการบันทึกยอดสินค้าเกินจริงหน้างานครับ",Picture31,New,Issue,P'Noom,Krit,,,30/6/2026,,
44,29/6/2026,PDA,High,All Process,,ปรับปรุงช่อง Quantity To Move: ไม่ต้องแสดงตัวเลขเริ่มต้น (1.000) ให้แสดงเป็นค่าว่างเพื่อรอผู้ใช้ป้อนข้อมูล,"พบปัญหาการตั้งค่าเริ่มต้น (Default Value) บนหน้าจอ Putaway Strategy ในส่วนของช่องระบุจำนวนสินค้าที่ต้องการย้าย (Quantity To Move) มีรายละเอียดดังนี้ครับ:
พฤติกรรมปัจจุบัน:
-เมื่อเปิดเข้ามาที่หน้าจอนี้ ระบบจะทำการใส่ตัวเลขเริ่มต้นมาให้เป็น 1.000 โดยอัตโนมัติ

สิ่งที่ต้องการให้ปรับปรุง:
-รบกวนทีมพัฒนาปรับเปลี่ยนแก้ไข โดยไม่ต้องให้ระบบใส่ตัวเลขใด ๆ ขึ้นมาล่วงหน้า (ไม่ต้องขึ้นเลข 1.000)
-ให้ช่อง Quantity To Move แสดงผลเป็น ค่าว่าง (Blank) เพื่อสแตนด์บายรอให้ผู้ใช้งานพิมพ์ป้อนจำนวนจริงด้วยตนเองตั้งแต่แรกครับ
",Picture32,In Review,Issue,P'Noom,Krit,,,30/6/2026,,
45,29/6/2026,PC,High,All Process,,หน้าจอ Pick Detail ไม่แสดงคอลัมน์จำนวนสินค้าที่หยิบจริง (Picked Quantity),"พบประเด็นเรื่องข้อมูลไม่ครบถ้วนบนหน้าจอ Outbound / Pick Detail ในส่วนของตารางรายการสินค้าที่ต้องทำการหยิบ (Pick List Information) มีรายละเอียดดังนี้ครับ:
ปัญหาที่พบ:
-ตารางแสดงผลในปัจจุบันมีเพียงคอลัมน์ ""Quantity Plan"" (จำนวนตามแผน) แต่ไม่มีการแสดงคอลัมน์ ""Quantity Picked"" (จำนวนที่หยิบสินค้าได้จริง) ปรากฏอยู่บนหน้าจอ ทำให้ไม่สามารถตรวจสอบสถานะการทำงานจริงได้

สิ่งที่ต้องการให้ปรับปรุง:
--รบกวนทีมพัฒนาเพิ่มคอลัมน์ ""Quantity Picked"" หรือ ""Picked Qty"" เข้ามาในตารางแสดงผลถัดจากคอลัมน์ Quantity Plan
-เพื่อให้ผู้ใช้งานสามารถมองเห็นและเปรียบเทียบได้ชัดเจนว่า รายการสินค้าแต่ละแถวถูกทำการหยิบ (Pick) ข้อมูลจริงเสร็จสิ้นไปแล้วจำนวนเท่าใดครับ",Picture33,SA Testing,Issue,P'Noom,Krit,,,30/6/2026,,
46,29/6/2026,PDA,High,All Process,,ปรับปรุงพฤติกรรมหน้าจอเด้งสลับไปมา และกำหนดเวลาเคลียร์ข้อความแจ้งเตือนอัตโนมัติ (Error Message Auto-clear Timeout),"พบปัญหาด้านประสบการณ์ผู้ใช้งาน (UX/UI Bug) บนหน้าจอแอปพลิเคชันมือถือ/PDA ในส่วนของ ""จัดสินค้าตามระบบ"" เมื่อผู้ใช้งานกรอกหรือสแกนข้อมูลผิดพลาด มีรายละเอียดดังนี้ครับ:
ปัญหาที่พบ:
1.เมื่อมีข้อผิดพลาดเกิดขึ้น (เช่น ใส่ข้อมูลผิด หรือสแกนผิดพลาด) หน้าจอมีอาการกระตุกหรือเด้งสลับไปมา ทำให้ผู้ใช้งานสับสน
2.ข้อความแจ้งเตือนความผิดพลาด (Error Message/Alert) แสดงผลค้างไว้บนหน้าจอนานเกินไป ไม่ยอมหายไปเอง ทำให้ผู้ใช้ไม่แน่ใจว่าระบบประมวลผลเสร็จสิ้นแล้วหรือยัง

สิ่งที่ต้องการให้ปรับปรุง:
-ล็อกการเด้งของหน้าจอ: รบกวนตรวจสอบชุดโค้ดในจังหวะการทำ Validation ตรวจสอบข้อมูล ห้ามให้หน้าจอขยับหรือเด้งไปมาโดยไม่จำเป็น
-ตั้งเวลาซ่อนข้อความอัตโนมัติ (Toast/Snackbar Timeout): เมื่อระบบแสดงข้อความแจ้งเตือนความผิดพลาด (Error Message) ขึ้นมาแล้ว ขอให้ระบบทำการเคลียร์ข้อความนั้นออกไปโดยอัตโนมัติภายใน 3 วินาที (หรือระบุเวลาที่ทีม BA กำหนด) เพื่อเคลียร์หน้าจอให้พร้อมสำหรับการทำงานครั้งถัดไปทันทีโดยไม่ต้องให้ผู้ใช้กดปิดเอง",Picture34,SA Testing,Issue,P'Noom,Krit,,,30/6/2026,,
47,29/6/2026,PDA,High,All Process,,ให้ทบทวนการออกแบบลำดับขั้นตอนงาน (User Flow) บนหน้าจอจัดสินค้าแบบระบบ และกำหนดให้เร่งแก้ไขหน้าจอ Inventory Viewer เป็นอันดับแรก (Priority 1),"จากการทดสอบหน้าจอแอปพลิเคชันฝั่งโมบายในส่วนของ ""จัดสินค้าแบบระบบ"" ปัจจุบันการจัดวางองค์ประกอบและขั้นตอนการทำงานยังไม่ชัดเจน ทำให้ผู้ใช้งานเกิดความสับสนว่าระบบต้องการให้ทำกิจกรรมใดในแต่ละขั้นตอน จึงขอให้ทีมออกแบบ (UX/UI) และทีมพัฒนาร่วมกันปรับปรุงระบบตามลำดับความสำคัญดังนี้ครับ:
1. [Priority 1 - เร่งด่วนที่สุด] แก้ไขหน้าจอ Inventory Viewer:
-เนื่องจากในหน้าจอปัจจุบันไม่แสดงข้อมูลสำคัญที่ผู้ใช้งานจำเป็นต้องดูเพื่อทำงานต่อ รบกวนตรวจสอบและแก้ไขให้ระบบสามารถดึงข้อมูลคลังสินค้าขึ้นมาแสดงผลได้อย่างถูกต้อง ครบถ้วน และสามารถเลื่อนดูข้อมูลได้จริงก่อนเป็นอันดับแรก

2. [Priority 2] ปรับปรุงเงื่อนไขและลำดับขั้นตอนบนหน้าจอจัดสินค้า:
-ให้ทีมทบทวนการออกแบบหน้าจอนี้ใหม่ทั้งหมด (Re-design User Journey) โดยจัดลำดับช่องกรอกข้อมูลให้ลื่นไหลตามขั้นตอนหน้างานจริง เช่น ลำดับการเลือกใบงานออเดอร์, การเลือก Location, และการสแกนตรวจสอบไอเทม เพื่อลดความสับสนในการใช้งาน",Picture35,In Process,Issue,P'Noom,Krit,,,15/7/2026,,
48,6/7/2026,PC,High,All Process,,"ปรับปรุงข้อความแจ้งเตือนระบบ (System Message Standard)
ขอให้เปลี่ยนรูปแบบของ ข้อความในระบบ เป็นแบบนี้ เพราะ คำพูดมันเหมือนโปรแกรม พื้นฐานไป","ปรับแก้รูปแบบข้อความบน Alert Dialog (โดยเฉพาะหน้าต่างยืนยันการลบข้อมูล) ให้ดูเป็นทางการและมีมาตรฐานระดับ Enterprise มากยิ่งขึ้นครับ เนื่องจากข้อความเดิมคำพูดดูเป็นโปรแกรมพื้นฐานทั่วไป (เช่น ปุ่ม ""ใช่, ลบเลย!"")
รายละเอียดการแก้ไข:
-Title: ยืนยันการลบข้อมูล
-Message: คุณต้องการลบข้อมูลรายการนี้ใช่หรือไม่? การดำเนินการนี้ไม่สามารถย้อนกลับได้
-Buttons:
   **ปุ่มยกเลิก: ยกเลิก
   **ปุ่มยืนยัน: ลบข้อมูล (เปลี่ยนจากเดิม: ใช่, ลบเลย!)
ฝากทีมงานเช็กและปรับปรุงให้เป็นมาตรฐานเดียวกันทั้งระบบด้วยนะครับ ขอบคุณครับ",Picture36,New,Issue,P'Noom,Krit,,,,,
49,6/7/2026,PC,High,All Process,,เพิ่มข้อความอธิบายหน้าจอ (Page Description) หน้าแผนการรับสินค้า เพื่อลด User Training,"หลักการและเหตุผล (Context):
บริเวณส่วนหัวของหน้าจอ (Header Area) มีพื้นที่ว่างค่อนข้างมาก และเพื่อเป็นการลดขั้นตอน/ระยะเวลาในการสอนใช้งานระบบ (User Training) ควรมีการเพิ่มคำอธิบายสั้นๆ เพื่อกำกับว่าหน้าจอนี้ใช้ทำอะไร
สิ่งที่ต้องการให้ดำเนินการ (Proposed Change):
1.เพิ่ม Component สำหรับแสดงผลข้อความอธิบาย (Description Text) บริเวณข้างหรือใต้ Breadcrumb Transaction / แผนการรับสินค้า
2.ข้อความมาตรฐานสำหรับหน้านี้: ""หน้าสำหรับจัดการและติดตามแผนการรับสินค้าเข้าคลัง""
3.ออกแบบให้ตัวอักษรมีขนาดเล็กกว่าหัวข้อหลัก และใช้สีในกลุ่ม Text Muted / Secondary เพื่อความสวยงามและเป็นระเบียบ

ผลลัพธ์ที่คาดหวัง (Expected Outcome):
ผู้ใช้งานใหม่สามารถเข้าใจวัตถุประสงค์ของหน้าจอนี้ได้ด้วยตัวเองทันทีที่เข้าใช้งาน (Self-explanatory UI)",Picture37,New,Issue,P'Noom,Krit,,,,,
50,6/7/2026,PC,High,All Process,,"ปรับเปลี่ยน Default Action ของปุ่มเพิ่มข้อมูล (Master / Business Partner & Item) (หน้าจอ add customer, item ให้ default ให้ add by dialog เพราะ ข้อมูลเยอะ)","รบกวนทีมพัฒนาปรับเปลี่ยนกลไกการทำงานของปุ่ม ""Add"" ในหน้า Master ข้อมูลคู่ค้า (Business Partner) และข้อมูลสินค้า (Item) ให้สลับเอาฟังก์ชัน Dialog ขึ้นมาเป็นค่าเริ่มต้น (Default Action) ครับ
รายละเอียดการแก้ไข:
-หน้าจอเป้าหมาย: หน้า Master / Business Partner และ หน้าจัดการ Item
-การปรับปรุงปุ่มกด:
***ปุ่มหลัก (Main Button): เมื่อผู้ใช้กดที่ปุ่ม + Add Business Partner โดยตรง ให้ระบบเปิดเป็น Dialog (Modal Popup) ขึ้นมาทันที ทันที (ไม่ต้องลิงก์ไปหน้าใหม่แล้ว)
***ปุ่มย่อย (Dropdown): ให้สลับเอาฟังก์ชันการเปิดหน้าต่างเต็ม (Full Page) ไปไว้ใน Dropdown แทน (หรือเอาออกหากไม่จำเป็น)
-เหตุผล: เนื่องจากหน้าจอนี้มีปริมาณข้อมูลเยอะ การกรอกผ่าน Dialog จะช่วยให้สับเปลี่ยนหน้าและจัดการ Workflow ได้สะดวกกว่าครับ

ฝากทีม Dev ปรับ Behavior ของ Split Button ตัวนี้ให้หน่อยนะครับ ขอบคุณครับ",Picture38,New,Issue,P'Noom,Krit,,,,,
51,6/7/2026,PC,High,All Process,,ปรับปรุงระบบเลขที่เอกสาร (Inbound/Outbound Number) ให้รองรับ Manual Input (ต้อง key เลข inbound และ outbound ได้),"หลักการและเหตุผล (Context):
ปัจจุบันในหน้าจอสร้างเอกสาร (เช่น Add Inbound Order) ฟิลด์สำหรับระบุเลขที่เอกสารถูกกำหนดให้เป็นแบบรันอัตโนมัติเมื่อบันทึก (Auto-generated on save) เท่านั้น แต่ในขั้นตอนการปฏิบัติงานจริง ผู้ใช้งานจำเป็นต้องกรอกเลขที่เอกสารอ้างอิงตรงตามใบงานของซัพพลายเออร์หรือเอกสารภายในคลังสินค้าด้วยตัวเองได้

สิ่งที่ต้องการให้ดำเนินการ (Proposed Change):
1.ปรับเปลี่ยนคุณสมบัติของฟิลด์ Inbound Order Number และ Outbound Order Number ให้รองรับการป้อนข้อมูลด้วยตนเอง (Manual Key-in)
2.พัฒนาระบบรองรับเงื่อนไข (Logic):
**กรณีไม่ได้กรอกข้อมูล (Empty Input): ให้ระบบดำเนินการ Generate เลขที่เอกสารอัตโนมัติเมื่อบันทึกตาม Format เดิม
**กรณีมีการกรอกข้อมูล (Manual Input): ให้ใช้ค่าที่ผู้ใช้งานระบุ บันทึกลงฐานข้อมูลโดยตรง (และควรมี Validation Check เพื่อป้องกันเลขซ้ำในระบบ)
3.ปรับเปลี่ยน Placeholder Text จากเดิม ""Auto-generated on save"" ให้สื่อสารชัดเจนขึ้น เช่น ""กรอกเลขที่เอกสาร หรือเว้นว่างไว้เพื่อให้ระบบรันอัตโนมัติ""

ผลลัพธ์ที่คาดหวัง (Expected Outcome):
ระบบมีความยืดหยุ่นสูงขึ้น สามารถรองรับเคสการบันทึกเอกสารที่มีการรันหมายเลขมาจากภายนอกระบบได้ ทั้งในส่วนของกระบวนการ Inbound และ Outbound ครับ",Picture39,New,Issue,P'Noom,Krit,,,,,
52,6/7/2026,PC,High,All Process,,ปุ่ม Save บริเวณ Footer (ขวาล่าง) หน้าจอ Dialog ไม่มีการ Trigger ฟังก์ชันบันทึกข้อมูล (กดปุ่ม save ล่างขวา ต้อง sve ได้),"จากการทดสอบฟังก์ชันการทำงานในหน้าจอจัดการ Unit of Measure (UOM) พบว่าปุ่ม Save สีเขียวที่อยู่บริเวณ Footer มุมขวาล่างสุด ไม่สามารถทำการบันทึกข้อมูลที่กรอกในตารางได้เมื่อถูกคลิก (Missing Action Event / No Action Triggered)
ขั้นตอนการทดสอบ (Steps to Reproduce):
1.เข้าไปที่หน้าจอจัดการข้อมูล UOM
2.ทำการเพิ่มหรือแก้ไขข้อมูลในแถวตาราง (Inline Editing)
3.เลื่อนลงมากดปุ่ม Save ที่มุมขวาล่างสุดของหน้าจอ
4.ผลลัพธ์ที่พบ: ข้อมูลไม่มีการบันทึกลงระบบ และไม่มีการตอบสนองใดๆ

สิ่งที่ต้องการให้แก้ไข (Proposed Change):
1.ตรวจสอบโค้ดในส่วน Button Component ด้านล่างขวา
2.ผูกฟังก์ชันการทำงาน (Bind onClick Event) ให้ปุ่ม Save ด้านล่างขวา เรียกใช้งานฟังก์ชันบันทึกข้อมูล (Save/Submit Data) ชุดเดียวกับปุ่ม Save หลักด้านบน เพื่อให้สามารถบันทึกข้อมูลได้สำเร็จเหมือนกัน

ผลลัพธ์ที่คาดหวัง (Expected Outcome):
เมื่อผู้ใช้งานกดปุ่ม Save ด้านล่างขวา ระบบจะต้องทำการบันทึกข้อมูลที่ป้อนไว้ทั้งหมดเข้าสู่ฐานข้อมูลได้อย่างถูกต้อง",Picture40,New,Issue,P'Noom,Krit,,,,,
